N,A,B,C,seed,Z_est,Z_std,rel_error,time_seconds
100000,20,5,1000,101,5.010057832901855,10.036659627081448,3.987429960555682,1.4614977836608887
100000,20,10,500,11,2.384533578913916,3.8257982441413514,1.3737638586375387,1.2482178211212158
100000,20,10,500,23,0.3741198451684543,0.7210963823858324,0.6275698630906096,2.821115255355835
100000,20,10,500,42,0.7618619259328178,1.0400320412968604,0.24157901526594525,1.2975349426269531
100000,20,10,500,77,6.335100275462299,10.633397674094926,5.306487863167981,1.216087818145752
100000,20,10,500,101,4.527147200432463,7.638151637081334,3.506700388766741,1.2367932796478271
100000,20,20,250,11,2.4701078811021637,7.397329083010933,1.4589516654098427,1.1207058429718018
100000,20,20,250,23,2.562368139055371,4.65274912610614,1.5507952308997655,1.0549898147583008
100000,20,20,250,42,6.95266995904989,20.220357534899236,5.921268299918277,1.0431091785430908
100000,20,20,250,77,6.3694967790351935,19.36746034889382,5.340729015302237,1.0460059642791748
100000,20,20,250,101,9.087939244578715,23.449211276185192,8.046893664672305,1.0445399284362793
100000,20,25,200,11,8.553292323541807,13.078055620576395,7.51466147070702,1.017256259918213
100000,20,25,200,23,1.121486032522181,2.4252604624732226,0.11642085291182312,1.0686430931091309
100000,20,25,200,42,1.0258048326503009,2.6724289756391006,0.02117179615062958,1.0441081523895264
100000,20,25,200,77,5.44544011562704,11.71778009889038,4.420845843881125,1.024571180343628
100000,20,25,200,101,2.1342847661287156,4.718926904131797,1.1246452919252072,1.031566858291626
100000,20,50,100,11,11.539815392035642,54.35753245868658,10.487695939865937,1.0110998153686523
100000,20,50,100,23,8.209421949897962,25.97489323113051,7.172344183909267,0.9692449569702148
100000,20,50,100,42,3.518381037300585,8.98927155915568,2.5024903071668128,0.9930968284606934
100000,20,50,100,77,18.21977250638135,74.3679663042165,17.137483099711584,0.9601700305938721
100000,20,50,100,101,5.144892704343485,17.687315026908337,4.121655851749868,0.9544339179992676
100000,20,100,50,11,12.522634744482009,54.516802150150916,11.466076399271897,0.9243850708007812
100000,20,100,50,23,3.8141039409215898,14.560826157881998,2.7968775814725175,0.9495501518249512
100000,20,100,50,42,35.07189336404533,327.18677606282887,33.91349153467552,0.9241619110107422
100000,20,100,50,77,10.246563308903294,72.24942718386899,9.20028481586511,0.9561200141906738
100000,20,100,50,101,5.158781335719639,37.44774885235043,4.135481755271709,0.973473072052002
100000,20,200,25,11,3.9581006367207294,29.71697861183902,2.9402239177429874,0.9193809032440186
100000,20,200,25,23,1.1772625303108954,7.2273709203733425,0.17194543674785007,0.9112880229949951
100000,20,200,25,42,2.7521353118138454,26.85622790718485,1.7397053222623977,0.91009521484375
100000,20,200,25,77,2.1325478998306373,11.023004290813613,1.1229162701650937,0.9089703559875488
100000,20,200,25,101,1.8838001082857858,10.375382385917224,0.8752919453468146,0.9076790809631348
100000,25,5,800,11,5.222686299961202,3.5844222320557875,4.199098093429227,1.4752657413482666
100000,25,5,800,23,3.0619770020342285,3.7975352970516485,2.0481476158195755,1.475342035293579
100000,25,5,800,42,4.079333730656754,6.743311797584504,3.0609094637134575,1.4731519222259521
100000,25,5,800,77,20.49108491480468,41.42282704673702,19.398537150057976,1.4834859371185303
