N,A,B,C,seed,Z_est,Z_std,rel_error,time_seconds
100000,50,200,10,11,1250.0362919148401,8170.590466352191,0.009469696048144727,0.9965338706970215
100000,50,200,10,23,1788.2244643861986,7109.605261496957,0.4440847983418152,1.0046958923339844
100000,50,200,10,42,946.4425039886675,2792.6631105846036,0.2356981689187845,0.9893543720245361
100000,50,200,10,77,1116.5554296826479,3134.0447483090625,0.09832308268739862,0.9872860908508301
100000,50,200,10,101,1693.1298506116436,5842.367311171226,0.36729092324898266,0.9869191646575928
100000,100,5,200,11,427.5188352342643,412.3267448732984,0.6547561767205151,1.959798812866211
100000,100,5,200,23,1851.6060334771125,1390.5073511723394,0.4952687309196848,1.9871490001678467
100000,100,5,200,42,1451.2887021853971,1266.341076622315,0.1719915450046837,1.9429209232330322
100000,100,5,200,77,574.844355352925,304.4084471644077,0.5357831125173111,1.9429659843444824
100000,100,5,200,101,2536.279593101744,1950.6436281220303,1.048178446099029,1.9441230297088623
100000,100,10,100,11,932.0584604121079,770.880258255728,0.24731403654685974,1.5606629848480225
100000,100,10,100,23,1846.4997421324963,1675.0885632432376,0.4911451335450142,1.4694890975952148
100000,100,10,100,42,1070.600219815347,779.6437211501329,0.13543431860640615,1.5073001384735107
100000,100,10,100,77,603.1694104590133,423.09470782309296,0.5129091488144735,1.4742140769958496
100000,100,10,100,101,1058.1929828383024,1294.1887395088959,0.14545381149715145,1.5018792152404785
100000,100,20,50,11,1527.6696596183701,1842.5789135756643,0.23367316367642568,1.2149322032928467
100000,100,20,50,23,985.4705011102056,938.4973117968093,0.20418101965962443,1.241610050201416
100000,100,20,50,42,1225.3324838913297,944.0266356287337,0.010479921205386732,1.2873098850250244
100000,100,20,50,77,691.1210458102304,655.157298976314,0.4418836024529932,1.2958848476409912
100000,100,20,50,101,1101.897943731996,1204.018337015685,0.11015976933652706,1.3036909103393555
100000,100,25,40,11,1022.7186823332542,1157.2043862701155,0.1741011648419864,1.1771368980407715
100000,100,25,40,23,1478.6920968139282,1699.2412526147002,0.19412121965914975,1.167006015777588
100000,100,25,40,42,831.0116070300419,896.1642618857605,0.3289146564888324,1.5585312843322754
100000,100,25,40,77,1099.5764059539572,1265.6711908233287,0.11203453253365897,1.1887691020965576
100000,100,25,40,101,1095.557319696886,1469.7868319039362,0.1152801549276313,1.1568679809570312
100000,100,50,20,11,1434.3520910357981,2524.7881934138118,0.15831434553467336,1.0645649433135986
100000,100,50,20,23,1141.2038294671454,2187.241466883977,0.07841821048531619,1.0599908828735352
100000,100,50,20,42,1692.9570942580299,2671.188895735627,0.3671514134564264,1.1642088890075684
100000,100,50,20,77,1505.3689824618248,2002.5135533156954,0.2156642003075291,1.1236190795898438
100000,100,50,20,101,1246.1738753436086,1982.82719383595,0.006350592620995583,1.0858392715454102
100000,100,100,10,11,874.9638183547838,1397.2161363532898,0.2934209466712828,1.042078971862793
100000,100,100,10,23,1513.9480854951773,2829.8151853164363,0.2225922747862132,1.1181187629699707
100000,100,100,10,42,1327.1949003604564,2265.1381872782854,0.0717793085920982,1.0515480041503906
100000,100,100,10,77,1628.7792373780987,5279.120864857836,0.3153244368345196,1.0718789100646973
100000,100,100,10,101,969.4570125882279,1538.6360412266647,0.21711274931860022,1.0245511531829834
100000,100,200,5,11,1344.9114510713366,6086.858373860898,0.0860863500570609,0.9901819229125977
100000,100,200,5,23,1673.1555772438753,5245.8090472561835,0.3511606526354337,0.9871401786804199
100000,100,200,5,42,790.7271563900845,1808.0903188640857,0.3614464576901328,0.9901461601257324
100000,100,200,5,77,1307.166643058937,3857.281366095082,0.0556054431281057,1.0183370113372803
100000,100,200,5,101,1607.2221338679042,6154.864758406695,0.29791594808194105,1.1085360050201416
100000,200,5,100,11,643.0433685397339,213.7008770317146,0.48070884182792745,2.034824848175049
100000,200,5,100,23,1165.3498192864536,704.8000221913069,0.05891906061156264,1.9713480472564697
100000,200,5,100,42,2119.47735664979,2464.214286556109,0.7115888369295021,2.0001449584960938
100000,200,5,100,77,1337.2429427148393,1494.1931861844394,0.07989362841382128,2.029165029525757
100000,200,5,100,101,2076.7916836861277,1517.4198674579693,0.6771179230920866,2.007336139678955
100000,200,10,50,11,1225.3142628381286,954.5534096795571,0.010494635659003495,1.537160873413086
100000,200,10,50,23,1051.3739727615653,563.9946048069605,0.15096051884159875,1.4851248264312744
100000,200,10,50,42,1239.8924779616257,975.6648752693242,0.0012780356504816907,1.649860143661499
100000,200,10,50,77,664.1197311215999,379.1730541846337,0.46368857652288925,1.484443187713623
100000,200,10,50,101,1177.4199767928708,1017.0878969260805,0.049171777026226306,1.4784159660339355
100000,200,20,25,11,1326.2510743943835,910.3127578378766,0.07101711975225705,1.281959056854248
100000,200,20,25,23,1634.2795998557187,1413.1453657088066,0.3197662672632445,1.3320069313049316
100000,200,20,25,42,1256.6146222397049,990.0430253465971,0.014782041902818439,1.2726871967315674
100000,200,20,25,77,738.9857869090417,486.250216593346,0.40323032017554394,1.2574169635772705
100000,200,20,25,101,1311.5133543092686,798.4626626697418,0.059115639842442474,1.269869089126587
100000,200,25,20,11,876.9180102378651,718.0196364246931,0.2918428345004657,1.1994438171386719
100000,200,25,20,23,943.2788855432977,964.4328251559774,0.23825295630465124,1.1816067695617676
100000,200,25,20,42,1034.1169408085739,1022.7805962127045,0.16489647487179865,1.1826601028442383
100000,200,25,20,77,976.6136740587822,805.3966432043142,0.21133337081085046,1.204308271408081
100000,200,25,20,101,1207.801146294653,890.4355659199082,0.024637393391994424,1.1968450546264648
100000,200,50,10,11,1653.6448856970028,3429.2765422711573,0.3354047485925675,1.1668708324432373
100000,200,50,10,23,1113.9637632593399,1503.2735567625987,0.1004159888962154,1.1513419151306152
100000,200,50,10,42,1309.550225832728,1563.9891759875436,0.057530310904927245,1.1946659088134766
100000,200,50,10,77,1563.962344084254,2279.2713775786715,0.26298140487990823,1.123033046722412
100000,200,50,10,101,1115.485315176864,1246.6202482083725,0.09918725612930364,1.0905961990356445
100000,200,100,5,11,993.0243338665113,1823.9865048297715,0.19808090456230545,1.042900800704956
100000,200,100,5,23,1258.82451235848,2057.179567465547,0.016566643774722865,1.1096279621124268
100000,200,100,5,42,1087.4900315311204,1710.3375813901323,0.12179491212732306,1.0355401039123535
100000,200,100,5,77,1434.0139906874233,3411.8851569697163,0.1580413118170803,1.0306720733642578
100000,200,100,5,101,962.4336231927439,1638.5277705255867,0.2227845036541696,1.0459518432617188
100000,500,5,40,11,751.3364826238774,255.06477524063445,0.3932564873117477,2.0597238540649414
100000,500,5,40,23,1194.184365598234,451.6912703501327,0.03563365610826506,2.218168258666992
100000,500,5,40,42,1067.718119744632,481.8316035025136,0.1377617651783038,2.065403938293457
100000,500,5,40,77,1056.256640769685,449.3230212855257,0.14701750900905192,2.0265448093414307
100000,500,5,40,101,1013.0466984734458,378.64855400867907,0.18191179775744137,2.0219779014587402
100000,500,10,20,11,1164.0982040100762,706.4404793628595,0.05992980542016214,1.5104601383209229
100000,500,10,20,23,1259.9528088725713,690.3285726291653,0.01747780223188029,1.5489420890808105
100000,500,10,20,42,1161.7385479537004,493.89520474906624,0.06183535112104657,1.5049479007720947
100000,500,10,20,77,988.6992789153416,402.3979872884485,0.20157361268221197,1.4943280220031738
100000,500,10,20,101,1082.8185303268424,420.57038589023284,0.12556739371947537,1.4978389739990234
100000,500,20,10,11,1088.3842474401215,671.7783456475662,0.12107278600370629,1.2555339336395264
100000,500,20,10,23,1273.9632270929803,1099.676422548431,0.028791947840244147,1.2790050506591797
100000,500,20,10,42,1391.4094772878855,1064.9276241416885,0.12363593857321252,1.2765390872955322
100000,500,20,10,77,829.5244445066743,629.2955254579132,0.33011561802102796,5.41742205619812
100000,500,20,10,101,1422.8521505811955,959.5178284436564,0.1490275420471548,1.9346842765808105
100000,500,25,8,11,904.6672365214556,687.8377255110354,0.2694338826938284,2.349514961242676
100000,500,25,8,23,888.377408390858,797.8243115579291,0.28258877104229496,1.2296867370605469
100000,500,25,8,42,1067.7197374222794,903.0271920537119,0.13776045881898163,1.215101957321167
100000,500,25,8,77,1113.2001609701413,823.7581904953079,0.10103263768934621,1.2204370498657227
100000,500,25,8,101,1162.07486761908,908.3909387952509,0.06156375539812112,1.2067410945892334
100000,500,50,4,11,1601.8937764376979,2746.621496364299,0.2936130207267146,1.1158978939056396
100000,500,50,4,23,1072.305980073285,1192.9022658002352,0.13405682796853513,1.1054089069366455
100000,500,50,4,42,1378.7100841348354,1587.513039453033,0.11338051428743608,1.121509075164795
100000,500,50,4,77,1453.2172453844905,1695.7129581027634,0.1735489445214788,1.122530221939087
100000,500,50,4,101,1326.3231893231725,1686.1906147487812,0.07107535632963967,1.1050939559936523
100000,500,100,2,11,914.5773179544809,1607.002970143591,0.26143097353293987,1.2778069972991943
100000,500,100,2,23,1306.1218259556645,2314.1501691903923,0.05476169866205432,1.1608669757843018
100000,500,100,2,42,1111.7702201884497,1823.0695267811325,0.10218738967182656,1.1244821548461914
100000,500,100,2,77,1425.5037332354996,3001.0237206434576,0.1511688337467635,1.3625068664550781
100000,500,100,2,101,918.6930459851276,1535.5113989770744,0.2581073078514024,1.1652050018310547
100000,500,200,1,11,2134.712129461557,13419.673743666212,0.7238917129172857,1.1069040298461914
100000,500,200,1,23,1478.685302306764,5339.821684837594,0.19411573273918897,1.1591010093688965
100000,500,200,1,42,772.5589972637524,1732.086891647483,0.3761181965745445,1.0793547630310059
100000,500,200,1,77,1283.3467424262808,3278.6680082138964,0.03636962733054109,1.1834440231323242
100000,500,200,1,101,1976.9038294656825,9720.220517260443,0.5964532556012299,1.050788164138794
