tn_type,param_name,param_value,A,B,C,trial,beta_idx,beta_mid,beta_left,beta_right,delta_beta,step_error,step_error_metric,E_L1,E_L2,Z1_log_error,Z_true_final
uniform1,jitter,0.05,200,40,200,0,76,0.9950599774094226,0.9948885665165599,0.9952313883022855,0.00034282178572564437,0.006879036825723031,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,77,0.995391302735579,0.9952313883022855,0.9955512171688724,0.0003198288665868798,0.0028603306028204493,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,78,0.995700406205511,0.9955512171688724,0.9958495952421496,0.00029837807327715016,0.0024818588710861927,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,79,0.9959887782301685,0.9958495952421496,0.9961279612181875,0.0002783659760379198,0.00929174317921969,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,80,0.996257809259239,0.9961279612181875,0.9963876573002906,0.00025969608210307804,0.0027468994377098377,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,81,0.9965087964855093,0.9963876573002906,0.9966299356707281,0.00024227837043755418,0.0002312576177277599,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,82,0.9967429500995684,0.9966299356707281,0.9968559645284085,0.00022602885768041592,0.008783234990711297,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,83,0.9969613991250093,0.9968559645284085,0.99706683372161,0.00021086919320145725,0.013339999279997438,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,84,0.9971651968622677,0.99706683372161,0.9972635600029254,0.00019672628131539582,0.005011063347465998,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,85,0.9973553259673429,0.9972635600029254,0.9974470919317605,0.00018353192883513447,0.0038153107506092975,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,86,0.9975327031898922,0.9974470919317605,0.9976183144480238,0.0001712225162633363,0.01332420378686309,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,87,0.9976981837935421,0.9976183144480238,0.9977780531390604,0.00015973869103658167,0.0011250137924298433,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,88,0.9978525656797326,0.9977780531390604,0.9979270782204046,0.00014902508134417847,0.005386886554157528,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,89,0.9979965932349747,0.9979270782204046,0.9980661082495448,0.0001390300291401747,0.022046644741869174,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,90,0.9981309609200764,0.9980661082495448,0.9981958135906079,0.00012970534106315768,0.006724531254837289,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,91,0.9982563166186385,0.9981958135906079,0.9983168196466691,0.00012100605606113479,0.01384452891284321,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,92,0.9983732647609698,0.9983168196466691,0.9984297098752706,0.00011289022860150322,0.0015179568195847343,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,93,0.9984823692384817,0.9984297098752706,0.9985350286016927,0.00010531872642216555,0.002065587700872014,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,94,0.9985841561226154,0.9985350286016927,0.998633283643538,9.825504184524103e-05,0.006887191305153787,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,95,0.9986791162014125,0.998633283643538,0.998724948759287,9.16651157489845e-05,0.019369018113038296,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,96,0.9987677073459583,0.998724948759287,0.9988104659326297,8.551717334270847e-05,0.0015977287158185673,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,97,0.9988503567181088,0.9988104659326297,0.9988902475035879,7.978157095822613e-05,0.00891813415762417,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
