schedule,A,B,C,trial,beta_idx,beta_mid,beta_left,beta_right,delta_beta,true_ratio,step_error,step_error_metric,E_L1,E_L2,Z1_log_error
Logspace,200,40,50,3,18,0.7230045383605901,0.7133932383051749,0.7326158384160053,0.019222600110830435,0.9978684480195773,4.039835316400561,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,19,0.7415825124464868,0.7326158384160053,0.7505491864769683,0.017933348060963028,0.998204186477587,4.061839201895311,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,20,0.7589144692904637,0.7505491864769683,0.7672797521039592,0.016730565626990823,0.9984764738112369,4.0814248643383975,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,21,0.7750839787672543,0.7672797521039592,0.7828882054305496,0.015608453326590443,0.9986990841985605,4.09895540866674,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,22,0.7901690057537414,0.7828882054305496,0.7974498060769333,0.014561600646383677,0.9988824614315697,4.1147226476560785,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,23,0.8042422860539061,0.7974498060769333,0.811034766030879,0.013584959953945708,0.999034598050464,4.128963821217426,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,24,0.8173716771106421,0.811034766030879,0.8237085881904052,0.012673822159526171,0.9991616645397815,4.141873915962978,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,25,0.8296204851954694,0.8237085881904052,0.8355323822005336,0.011823794010128452,0.9992684643580015,4.153614844753181,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,26,0.8410477706537662,0.8355323822005336,0.8465631591069988,0.011030776906465145,0.999358766262213,4.1643223593581835,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,27,0.8517086326773254,0.8465631591069988,0.8568541062476521,0.010290947140653373,0.9994355492851114,4.174111308885151,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,28,0.8616544749773312,0.8568541062476521,0.8664548437070101,0.009600737459357966,0.9995011849219363,4.183079678728058,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,29,0.8709332536387546,0.8664548437070101,0.8754116635704992,0.008956819863489063,0.9995575737600708,4.19131172185492,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,30,0.8795897083512569,0.8754116635704992,0.8837677531320147,0.008356089561515567,0.9996062487619661,4.198880408294013,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,31,0.8876655781315268,0.8837677531320147,0.891563403131039,0.007795649999024268,0.9996484539339076,4.20584935797911,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,32,0.8951998025772092,0.891563403131039,0.8988362020233793,0.0072727988923403375,0.9996852046807096,4.212274378793064,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,33,0.9022287096228128,0.8988362020233793,0.9056212172222462,0.006785015198866873,0.9997173344299024,4.218204700478768,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,34,0.9087861907029058,0.9056212172222462,0.9119511641835654,0.006329946961319166,0.9997455308866985,4.223683972420431,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,35,0.9149038641671856,0.9119511641835654,0.9178565641508057,0.005905399967240377,0.9997703644036339,4.228751076704513,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,36,0.9206112277353655,0.9178565641508057,0.9233658913199254,0.005509327169119671,0.9997923103138477,4.233440795618806,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,37,0.9259358007269748,0.9233658913199254,0.9285057101340242,0.005139818814098751,0.9998117666139131,4.237784363622806,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,38,0.9309032567518615,0.9285057101340242,0.9333008033696988,0.004795093235674619,0.9998290680420715,4.241809926993413,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
Logspace,200,40,50,3,39,0.9355375475011982,0.9333008033696988,0.9377742916326977,0.00447348826299887,0.9998444973460971,4.245542929180483,density_abs,6.033346985219719,7.661668457445471,0.9723382080304949
