A,B,C,beta_idx,beta,rel_error
200,10,50,182,0.914572864321608,5.550461013763186
200,10,50,183,0.9195979899497487,6.140228793391996
200,10,50,184,0.9246231155778895,10.505134401655463
200,10,50,185,0.9296482412060302,10.268458863802605
200,10,50,186,0.9346733668341709,15.786939516029902
200,10,50,187,0.9396984924623115,12.676238205297711
200,10,50,188,0.9447236180904522,7.210041203505925
200,10,50,189,0.949748743718593,5.793188364942396
200,10,50,190,0.9547738693467337,3.8341203230556555
200,10,50,191,0.9597989949748744,13.736220604545053
200,10,50,192,0.964824120603015,3.4821180104687532
200,10,50,193,0.9698492462311558,15.060115047914174
200,10,50,194,0.9748743718592965,6.750661199380763
200,10,50,195,0.9798994974874372,5.015117496724774
200,10,50,196,0.9849246231155779,3.5167101109959664
200,10,50,197,0.9899497487437187,4.677431869821149
200,10,50,198,0.9949748743718593,11.395281004099331
200,10,50,199,1.0,1.666783347561493
200,10,100,0,0.0,
200,10,100,1,0.005025125628140704,0.16675775580329388
200,10,100,2,0.010050251256281407,0.36287660457415155
200,10,100,3,0.01507537688442211,0.5775183502739141
200,10,100,4,0.020100502512562814,0.7860870173232275
200,10,100,5,0.02512562814070352,1.0453485055572267
200,10,100,6,0.03015075376884422,1.3368959392629882
200,10,100,7,0.035175879396984924,1.5992186210326245
200,10,100,8,0.04020100502512563,1.9376679715102127
200,10,100,9,0.04522613065326633,2.2729841202514858
200,10,100,10,0.05025125628140704,2.5822478856045854
200,10,100,11,0.05527638190954774,2.928794613834982
200,10,100,12,0.06030150753768844,3.197113456335925
200,10,100,13,0.06532663316582915,3.7372607318762903
200,10,100,14,0.07035175879396985,3.9105006634906188
200,10,100,15,0.07537688442211056,4.402824655179675
200,10,100,16,0.08040201005025126,4.712038286031438
200,10,100,17,0.08542713567839195,5.098468061269145
200,10,100,18,0.09045226130653267,5.608332249673553
200,10,100,19,0.09547738693467336,5.627479505439469
200,10,100,20,0.10050251256281408,6.010389185246088
200,10,100,21,0.10552763819095477,5.915881062945074
200,10,100,22,0.11055276381909548,6.671201108495663
200,10,100,23,0.11557788944723618,7.885666811907846
200,10,100,24,0.12060301507537688,6.471891517055348
200,10,100,25,0.12562814070351758,6.832096528725708
200,10,100,26,0.1306532663316583,7.0107074106291165
200,10,100,27,0.135678391959799,8.564907530987169
200,10,100,28,0.1407035175879397,8.727522344609762
200,10,100,29,0.1457286432160804,6.645805453410015
200,10,100,30,0.15075376884422112,6.521147902535312
200,10,100,31,0.15577889447236182,7.123936790352403
200,10,100,32,0.16080402010050251,8.330853575659404
200,10,100,33,0.1658291457286432,9.29640915887334
200,10,100,34,0.1708542713567839,7.202397181990291
200,10,100,35,0.17587939698492464,7.98778186896744
200,10,100,36,0.18090452261306533,6.92313725334386
200,10,100,37,0.18592964824120603,4.526843655853894
200,10,100,38,0.19095477386934673,6.511150393048986
200,10,100,39,0.19597989949748745,7.147020743052914
200,10,100,40,0.20100502512562815,10.043120863769428
200,10,100,41,0.20603015075376885,6.2111686149461
200,10,100,42,0.21105527638190955,7.754162352448981
200,10,100,43,0.21608040201005024,6.381368338004007
200,10,100,44,0.22110552763819097,6.3240856736585265
200,10,100,45,0.22613065326633167,6.631631888403945
200,10,100,46,0.23115577889447236,5.490709768686247
200,10,100,47,0.23618090452261306,6.977652833232878
200,10,100,48,0.24120603015075376,4.608267091941873
200,10,100,49,0.24623115577889448,7.54314950481268
200,10,100,50,0.25125628140703515,9.543392838508872
200,10,100,51,0.2562814070351759,11.3586763917034
200,10,100,52,0.2613065326633166,8.873207928360058
200,10,100,53,0.2663316582914573,6.899557105972021
200,10,100,54,0.271356783919598,7.428661919751402
200,10,100,55,0.2763819095477387,9.29448774112991
200,10,100,56,0.2814070351758794,3.016981916069148
200,10,100,57,0.2864321608040201,7.0768720452407665
200,10,100,58,0.2914572864321608,6.526405567771847
200,10,100,59,0.2964824120603015,5.1301936196614015
200,10,100,60,0.30150753768844224,5.9444006717064415
200,10,100,61,0.3065326633165829,2.6114958275827114
200,10,100,62,0.31155778894472363,6.5320598535780325
200,10,100,63,0.3165829145728643,6.007953897096879
200,10,100,64,0.32160804020100503,5.656297062493012
200,10,100,65,0.32663316582914576,7.643553292677474
200,10,100,66,0.3316582914572864,6.406499768391436
200,10,100,67,0.33668341708542715,8.91731218890564
200,10,100,68,0.3417085427135678,11.378682690789805
200,10,100,69,0.34673366834170855,4.179570195953935
200,10,100,70,0.35175879396984927,3.8676636030758886
200,10,100,71,0.35678391959798994,5.785999681304159
200,10,100,72,0.36180904522613067,6.699072342549893
200,10,100,73,0.36683417085427134,6.499710639605493
