A,B,C,trial,beta_idx,beta,true_ratio,est_ratio,geom_error_ratio
200,10,50,1,21,0.10552763819095477,0.7191231791673621,,0.06660160544304838
200,10,50,1,22,0.11055276381909548,0.7281199633231589,,0.04065073807854569
200,10,50,1,23,0.11557788944723618,0.7378813275453224,,0.03301000625003775
200,10,50,1,24,0.12060301507537688,0.7484995876288013,,0.027467188423074385
200,10,50,1,25,0.12562814070351758,0.7600492599307752,,0.012966945654865059
200,10,50,1,26,0.1306532663316583,0.7725708125661501,,0.031085856048403027
200,10,50,1,27,0.135678391959799,0.7860526128978053,,0.007055158144049639
200,10,50,1,28,0.1407035175879397,0.8004144185826654,,0.013864619045092813
200,10,50,1,29,0.1457286432160804,0.8154970523530508,,0.0038552282261019866
200,10,50,1,30,0.15075376884422112,0.8310630025112562,,0.013539662398888985
200,10,50,1,31,0.15577889447236182,0.8468108796698062,,0.05034127377305776
200,10,50,1,32,0.16080402010050251,0.8624030100471005,,0.044925222592850034
200,10,50,1,33,0.1658291457286432,0.8775011915907448,,0.0009229921186511836
200,10,50,1,34,0.1708542713567839,0.8918027346502614,,0.0031625964273398616
200,10,50,1,35,0.17587939698492464,0.9050688523062218,,0.039579648038228485
200,10,50,1,36,0.18090452261306533,0.9171402636302849,,0.05286713936982654
200,10,50,1,37,0.18592964824120603,0.927939048881756,,0.004557823600685337
200,10,50,1,38,0.19095477386934673,0.9374594242383194,,0.004362132452508202
200,10,50,1,39,0.19597989949748745,0.9457519641053523,,0.004378325272735427
200,10,50,1,40,0.20100502512562815,0.9529057992777289,,0.025268560862599945
200,10,50,1,41,0.20603015075376885,0.9590321411234898,,0.003715369912470047
200,10,50,1,42,0.21105527638190955,0.9642509622600932,,0.026460276130181176
200,10,50,1,43,0.21608040201005024,0.9686813796785515,,0.03909089735709519
200,10,50,1,44,0.22110552763819097,0.9724354611598848,,0.027690896349789603
200,10,50,1,45,0.22613065326633167,0.9756147855437836,,0.03813361444592188
200,10,50,1,46,0.23115577889447236,0.9783090013551178,,0.009252369377053881
200,10,50,1,47,0.23618090452261306,0.980595708790655,,0.0008237076861957113
200,10,50,1,48,0.24120603015075376,0.982541135349978,,0.014456012515922843
200,10,50,1,49,0.24623115577889448,0.9842012256346926,,0.0028464129537465153
200,10,50,1,50,0.25125628140703515,0.9856228933781,,0.017587621977024792
200,10,50,1,51,0.2562814070351759,0.9868452806192066,,0.005529309133113374
200,10,50,1,52,0.2613065326633166,0.9879009369907135,,0.0065984657291886795
200,10,50,1,53,0.2663316582914573,0.9888168769825217,,0.007525193915565722
200,10,50,1,54,0.271356783919598,0.9896155009230472,,0.008332523994492417
200,10,50,1,55,0.2763819095477387,0.9903153815873783,,0.00903949886888218
200,10,50,1,56,0.2814070351758794,0.9909319268523773,,0.009661879812719869
200,10,50,1,57,0.2864321608040201,0.9914779325649831,,0.023510492704171486
200,10,50,1,58,0.2914572864321608,0.9919640407258914,,0.010702896571641897
200,10,50,1,59,0.2964824120603015,0.9923991174815427,,0.011141401752332719
