A,B,C,N_total,trial,Z_est,Z_true,rel_error,logw_std,time_sec
200,100,100,2000000,19,9.143476219851374,1.0045369804739377,8.102179807793146,,24.361892700195312
200,100,500,10000000,0,3.8940046182080357,1.0045369804739377,2.8764173882088997,,121.00112271308899
200,100,500,10000000,1,9.554443468206053,1.0045369804739377,8.511290926988366,,102.89448308944702
200,100,500,10000000,2,3.2159219192517754,1.0045369804739377,2.2013972424733557,,102.36365604400635
200,100,500,10000000,3,6.622877754124181,1.0045369804739377,5.59296559794098,,105.33347201347351
200,100,500,10000000,4,5.391946788620654,1.0045369804739377,4.367594118911132,,103.36897993087769
200,100,500,10000000,5,12.075639399849278,1.0045369804739377,11.021099904308176,,101.51671767234802
200,100,500,10000000,6,4.295996408711374,1.0045369804739377,3.276593587111681,,101.33953309059143
200,100,500,10000000,7,2.5652563097821166,1.0045369804739377,1.5536703572344703,,102.02104997634888
200,100,500,10000000,8,4.369816742709104,1.0045369804739377,3.35008051236445,,101.31771993637085
200,100,500,10000000,9,3.919302496120672,1.0045369804739377,2.9016010085278854,,101.19884967803955
200,100,500,10000000,10,6.033199649504095,1.0045369804739377,5.005950768141606,,100.913583278656
200,100,500,10000000,11,6.3489236194490255,1.0045369804739377,5.320248774170187,,100.15243601799011
200,100,500,10000000,12,4.015882167610382,1.0045369804739377,2.9977444789695054,,99.34227705001831
200,100,500,10000000,13,6.335039714446364,1.0045369804739377,5.306427575675224,,100.75913310050964
200,100,500,10000000,14,3.6447471240820057,1.0045369804739377,2.628285662875671,,103.88972806930542
200,100,500,10000000,15,58.78766392478156,1.0045369804739377,57.522150072609286,,111.70575165748596
200,100,500,10000000,16,3.602503331855055,1.0045369804739377,2.586232664282209,,102.77284097671509
200,100,500,10000000,17,5.262570028087392,1.0045369804739377,4.238801687126069,,101.48296189308167
200,100,500,10000000,18,13.13048143064435,1.0045369804739377,12.071177752410295,,70.19681310653687
200,100,500,10000000,19,7.8161689741950955,1.0045369804739377,6.78086733104385,,57.19623279571533
200,100,1000,20000000,0,3.510275758058275,1.0045369804739377,2.4944216353310726,,114.12242078781128
200,100,1000,20000000,1,28.588555067266963,1.0045369804739377,27.459435165621244,,114.17756414413452
200,100,1000,20000000,2,10.155965037495108,1.0045369804739377,9.110095730575843,,115.68324589729309
200,100,1000,20000000,3,10.452519647063937,1.0045369804739377,9.4053109544384,,119.26988220214844
200,100,1000,20000000,4,5.1433177071551635,1.0045369804739377,4.1200879680194165,,117.4253420829773
200,100,1000,20000000,5,6.269489925615053,1.0045369804739377,5.241173841760535,,117.06343007087708
200,100,1000,20000000,6,5.1731392936334935,1.0045369804739377,4.149774865622987,,115.08063888549805
200,100,1000,20000000,7,11.706847990785143,1.0045369804739377,10.653974137678718,,113.70890712738037
200,100,1000,20000000,8,10.59880735661866,1.0045369804739377,9.550937957125454,,113.74445223808289
200,100,1000,20000000,9,6.90872897101277,1.0045369804739377,5.877525770881278,,114.21220302581787
200,100,1000,20000000,10,6.517095917853964,1.0045369804739377,5.487661524197165,,114.11134099960327
200,100,1000,20000000,11,3.970893616445687,1.0045369804739377,2.9529591181125365,,114.65246534347534
200,100,1000,20000000,12,5.151826014928142,1.0045369804739377,4.128557848111799,,114.10220789909363
200,100,1000,20000000,13,4.2263206516979075,1.0045369804739377,3.2072325199057796,,113.43079900741577
200,100,1000,20000000,14,6.178892899992238,1.0045369804739377,5.150985996630064,,113.4161159992218
200,100,1000,20000000,15,8.088102724222558,1.0045369804739377,7.051572895212494,,113.57645916938782
200,100,1000,20000000,16,6.013230724314706,1.0045369804739377,4.986072032388177,,113.45881009101868
200,100,1000,20000000,17,5.16465807068414,1.0045369804739377,4.141331948025914,,113.34716486930847
200,100,1000,20000000,18,5.877000965601237,1.0045369804739377,4.850457553915521,,113.7936110496521
200,100,1000,20000000,19,6.724314297561957,1.0045369804739377,5.693944004320722,,113.39681577682495
200,100,5000,100000000,0,11.341762064437772,1.0045369804739377,10.290537117993168,,589.560200214386
200,100,5000,100000000,1,7.704977182079398,1.0045369804739377,6.670177735461976,,599.675931930542
200,100,5000,100000000,2,5.473386117332427,1.0045369804739377,4.448665627770218,,595.500638961792
200,100,5000,100000000,3,8.257072938559299,1.0045369804739377,7.219779957392545,,597.000715970993
200,100,5000,100000000,4,5.4713581282130965,1.0045369804739377,4.446646798041945,,594.4546592235565
200,100,5000,100000000,5,14.942335392438592,1.0045369804739377,13.874848495262802,,597.1884899139404
200,100,5000,100000000,6,7.366140332807155,1.0045369804739377,6.332871239177109,,600.291955947876
200,100,5000,100000000,7,6.144842508944642,1.0045369804739377,5.117089393807605,,592.3676669597626
200,100,5000,100000000,8,9.837901876445423,1.0045369804739377,8.793469098373988,,596.1773488521576
200,100,5000,100000000,9,4.576507314577357,1.0045369804739377,3.5558375684867016,,592.3389801979065
200,100,5000,100000000,10,9.93285111481076,1.0045369804739377,8.887989499524913,,590.1044428348541
200,100,5000,100000000,11,3.548976518644525,1.0045369804739377,2.532947604348152,,589.9666891098022
200,100,5000,100000000,12,9.550618635667647,1.0045369804739377,8.507483369265003,,591.8483860492706
200,100,5000,100000000,13,6.810377571309009,1.0045369804739377,5.779618574217041,,590.7064287662506
200,100,5000,100000000,14,2.2693299474576976,1.0045369804739377,1.2590805431443988,,598.1875150203705
200,100,5000,100000000,15,7.206613480737552,1.0045369804739377,6.174064888420029,,584.65509724617
200,100,5000,100000000,16,7.37921045580406,1.0045369804739377,6.345882331103997,,581.3438577651978
200,100,5000,100000000,17,8.452278883220188,1.0045369804739377,7.4141042565027595,,582.0410640239716
200,100,5000,100000000,18,6.523341605528313,1.0045369804739377,5.493879003290272,,591.4027557373047
200,100,5000,100000000,19,10.050240206627548,1.0045369804739377,9.004848404770398,,623.4490070343018
