tensor_type,n_sites,dim,N,A,B,C,seed,Z_est,Z_std,Z_true,rel_error,time_seconds
diagexp,16,3,100000,500,200,1,11,6.089570139566823e-10,8.516450538549516e-09,1.0000677333820351,0.9999999993910841,1.0158021450042725
diagexp,16,3,100000,500,200,1,23,4.514736401338769e-07,4.717711620563121e-06,1.0000677333820351,0.9999995485569377,1.0129668712615967
diagexp,16,3,100000,500,200,1,42,0.6249510953291368,8.838143148212291,1.0000677333820351,0.375091231855193,1.0189762115478516
diagexp,16,3,100000,500,200,1,77,4.350273269894945e-09,5.9275247469752544e-08,1.0000677333820351,0.9999999956500214,1.0132999420166016
diagexp,16,3,100000,500,200,1,101,7.322802260904862e-11,1.0224078900927355e-09,1.0000677333820351,0.9999999999267769,1.019840955734253
spikes,16,3,100000,20,5,1000,11,8854076517576896.0,1.780038887155316e+16,1.6829668154011603e+17,0.9473900706980584,1.5042681694030762
spikes,16,3,100000,20,5,1000,23,1.0818402232191427e+17,1.8583738179652234e+17,1.6829668154011603e+17,0.35718267685434435,1.6368718147277832
spikes,16,3,100000,20,5,1000,42,9794259518727460.0,2.077113269078009e+16,1.6829668154011603e+17,0.941803608787183,1.4833550453186035
spikes,16,3,100000,20,5,1000,77,1.024348818522097e+16,1.2385310655386048e+16,1.6829668154011603e+17,0.9391343424511952,1.482558012008667
spikes,16,3,100000,20,5,1000,101,1.10221847999911e+17,2.125371417488453e+17,1.6829668154011603e+17,0.3450741453054855,1.4878358840942383
spikes,16,3,100000,20,10,500,11,1.1144556124761974e+16,1.803704226394524e+16,1.6829668154011603e+17,0.9337802978479673,1.2029781341552734
spikes,16,3,100000,20,10,500,23,9919572647484228.0,2.2468714580452268e+16,1.6829668154011603e+17,0.9410590122353676,1.2023789882659912
spikes,16,3,100000,20,10,500,42,8.865500056672912e+16,1.4845102681612656e+17,1.6829668154011603e+17,0.4732219331039105,1.211817979812622
spikes,16,3,100000,20,10,500,77,1.0679908601292202e+17,2.623677568218949e+17,1.6829668154011603e+17,0.3654118130222024,1.2101519107818604
